titulo,autor,genero,editorial,precio,stock,encuadernacion
UNA DE LOS SUYOS,ROSE L. MCCARNEY,DARK ROMANCE,URANO,0,0,
UNA HISTORIA DIVERTIDA,EMILY HENRY,FICCION GENERAL,PLANETA,0,0,
UNA LUNA SIN MIEL,CHRISTINA LAUREN,FICCION GENERAL,PLANETA,0,0,
UNA NUEVA OPORTUNIDAD,COLLEEN HOOVER,FICCION GENERAL,PLANETA,0,0,
UNA PROMESA DE CIEN AñOS,SARAH JIO,ROMANCE,PLANETA,0,0,
UNA PUERTA EN LA SOMBRA,ALICIA ACOSTA,FANTASIA,ZIG-ZAG,0,0,
VERITY,COLLEEN HOOVER,THRILLER,PLANETA,0,1,
VUELVE EN ENERO,JOANA MARCUS,ROMANCE,PLANETA,0,0,
WILDER,REBECCA YARROS,ROMANCE,PLANETA,0,0,
"YO EN TU CASA, TU EN LA MIA",BETH O'LEARY,ROMANCE,PLANETA,0,0,
"TU, YO Y EL SUPER BOWL",TRACY WOLFF,ROMANCE,PLANETA,0,4,
LA SEGUNDA MUERTE DE LOCKE,MARINA TENA TENA,FANTASIA,URANO,0,0,
CUENTOS VICTORIANOS DE FANTASMAS PARA NAVIDAD,VARIOS AUTORES,TERROR Y HORROR,PLANETA,0,0,
NO ERES MI ALMA GEMELA,ELENA ARMAS,FICCION GENERAL,PLANETA,0,0,
JUEGO DE DOS,ALI HAZELWOOD,ROMANCE,CONTRALUZ,0,1,
ALFA,ALI HAZELWOOD,ROMANTASY,ALI HAZELWOOD,0,2,
HIJA DE NINGUN MUNDO,CARISSA BROADBENT,ROMANTASY,PLANETA,0,4,
SCYTHE AND SPARROW,BRYNNE WEAVER,DARK ROMANCE,ZIG ZAG,0,0,
LA MARCA DEL DRAGON,ARTHYFICE,ROMANTASY,TRAYECTO,0,2,
TODAS LAS HISTORIAS LLEVAN TU NOMBRE,ANDREA LONGARELA,ROMANCE,PLANETA,0,1,
